stage	event	anchor	idx	w	jp	ko	note
1	0	0333BA	0	00A2	イルザックおう!しろが ほういされております!	일자크 왕이시여!\n성이 포위되었습니다!	
1	0	0333BA	1	00A4	レディンよ、おまえは サルラスへ にげろ、\n\nあそこには わがともホーキングがいる。	레딘아, 너는 사르라스로 피하라。\n그곳에는 내 벗 호킹이 있다。	
1	0	0333BA	2	0000	ちちうえ!なにを いわれるのです!	아버님! 무슨 말씀이십니까!	
1	0	0333BA	3	00A4	あんずるな、これしきで おちはせぬ。\n\nもしものためだ。	걱정 말라, 쉽게 무너지지 않는다。\n만일을 위한 것이다。	
1	0	0333BA	4	00A1	てきが うごきだしました!	적이 움직이기 시작했습니다!	
1	0	0333BA	5	00A4	ヴォルコフ、レディンを たのむ!	볼코프, 레딘을 부탁한다!	
1	0	0333BA	6	0001	はっ!このヴォルコフ、いのちにかえましても!	옛! 이 볼코프, 목숨을 바치겠습니다!	
1	0	0333BA	7	00A3	さあ、ここは わたしたちにまかせて、\n\nおうじは はやくだっしゅつを!	자, 여기는 저희에게 맡기시고,\n왕자님은 서둘러 탈출하십시오!	
1	0	0333BA	8	00A4	なにをしている、はやくいけ!いかぬか!	무엇을 하고 있느냐, 어서 가라!\n못 가겠느냐!	
1	1	0332E8	0	00A2	これいじょう、あとはない。ひるむな!	더는 물러설 곳이 없다。 겁먹지 마라!	
1	2	033302	0	00A3	これいじょう すすませるわけには いきません。	더 이상 나아가게 둘 수는 없습니다。	
1	3	033322	0	00A1	おれのなは テイラー!\n\nここはいっぽもとうさんぞ!	내 이름은 테일러!\n여기서 한 걸음도 못 지나간다!	
1	4	033376	0	00A4	レディンよ、ぶじにげのびてくれよ!	레딘아, 부디 무사히 피하거라!	
1	5	0334DC	0	0000	こんかいは げきたいしたが また いつ\n\nだい2はが くるかもしれない。	이번에는 물리쳤지만 언제 다시\n2차 공세가 올지 모른다。	
1	5	0334DC	1	0000	ちちうえ!かならず サルラスで えんぐんを\n\nあつめ、かえって まいります。\n\nまっていてください。	아버님! 반드시 사르라스에서 원군을\n모아 돌아오겠습니다。\n기다려 주십시오。	
1	6	033394	0	0000	これでおわりか・・・・\n\nちちうえ、みんな、すまない・・・・	이것으로 끝인가・・・・\n아버님, 모두, 미안하다・・・・	
1	7	03350A	0	0000	ちちうえ!かならず サルラスで えんぐんを\n\nあつめ、かえって まいります。\n\nまっていてください。	아버님! 반드시 사르라스에서 원군을\n모아 돌아오겠습니다。\n기다려 주십시오。	
1	8	03354A	0	00A4	そんがいを うけた ぶたいは\n\nリーダーのもとで ちりょうしろ!	피해를 입은 부대는\n지휘관 곁에서 치료하라!	
1	8	03354A	1	00A2	はい!	예!	
1	8	03354A	2	00A4	リーダーも きずを おったら むりせず\n\nちりょうするのだ!	지휘관도 상처를 입으면 무리하지 말고\n치료하도록 하라!	
1	8	03354A	3	00A3	わかりました。	알겠습니다。	
1	8	03354A	4	00A4	いいか、しぬなよ!	알겠나, 죽지 마라!	
1	8	03354A	5	00A1	しょうち!	알겠습니다!	
1	8	03354A	6	0001	おうじ、はやく まいりましょう。	왕자님, 서둘러 가시지요。	
1	8	03354A	7	0000	わかった!	알았다!	
1	9	033348	0	005B	きしどうとは、しぬこととみつけたり!	기사도란, 죽음에서 찾는 것이다!	
2	0	0335F0	0	00A1	すみません、わざわざ おくって いただく な\n\nんて・・・。	죄송해요, 일부러 배웅까지\n해 주시다니。。。	
2	0	0335F0	1	0000	いいんですよ、クリスさん、わたしたちも サル\n\nラスへいくところだったんですから。	괜찮습니다, 크리스。\n우리도 사르라스로 가는\n길이었으니까요。	
2	0	0335F0	2	005B	おうじ、さきほどから ただならぬ けはいが。	왕자님, 아까부터\n이상한 기척이。	
2	0	0335F0	3	0000	やとうか!クリスさん、まちは もうすぐです、\n\nいっきに ぬけましょう!	도적인가! 크리스,\n마을은 곧입니다,\n단숨에 지나갑시다!	
2	0	0335F0	4	00A1	はい!	예!	
2	0	0335F0	5	005C	きます!うしろから やとうが おってきます!	옵니다! 뒤에서\n도적이 쫓아옵니다!	
2	0	0335F0	6	0000	よし!いくぞ!	좋아! 가자!	
2	0	0335F0	7	0008	みなごろしだ!	모두 죽여라!	
2	1	0336F8	0	0000	まちは めのまえだ!とまるな、はしれ!	마을이 눈앞이다!\n멈추지 마, 달려라!	
2	1	0336F8	1	00A1	は、はい!	예, 예!	
2	2	03371E	0	0000	クリスさん、だいじょうぶですか?	크리스, 괜찮습니까?	
2	2	03371E	1	00A2	ええ、だいじょうぶです。	예, 괜찮습니다。	
2	2	03371E	2	00A1	おうじ?レディンおうじでは ありませんか!	왕자님? 레딘 왕자님이\n아니십니까!	
2	2	03371E	3	00A2	おうじ?	왕자님?	
2	2	03371E	4	0000	ホ-キングこう!	호킹 공!	
2	2	03371E	5	00A1	おひさしぶりです。いったい、どうしたのですか\n\n?	오랜만입니다。 대체\n무슨 일이십니까?	
2	2	03371E	6	0000	じつは、バルティアじょうが ダルシスに おそ\n\nわれたのです。	실은, 발티아 성이\n다르시스에게 습격당했습니다。	
2	2	03371E	7	00A1	なんですと!では、イルザックおうは?	무슨 말씀이오! 그럼,\n일자크 왕은?	
2	2	03371E	8	0000	わかりません。ですから はやく えんぐんを\n\nあつめ、たすけに もどらねば なりません。	모릅니다。 그래서 서둘러\n지원군을 모아 구하러\n돌아가야 합니다。	
2	2	03371E	9	00A1	わかりました。わたしが へいを あつめましょ\n\nう。ですから、おうじは ゆっくりと おやすみ\n\nください。	알겠습니다。 병력은 제가\n모으겠습니다。 그러니\n왕자님은 편히 쉬십시오。	
2	2	03371E	10	0000	かんしゃします、ホ-キングこう。	감사합니다, 호킹 공。	
2	3	033894	0	0000	わたしのちからが、およばぬばかりに・・・・	내 힘이 미치지 못한 탓에。。。	
